task_name,program,search_time,evaluation_time,nb_programs,cumulative_probability,probability
caesar-cipher-k-modulo-n with k=3 and n=5,(map (mod 5) (map (+ 3) var0)),11.674663454940855,5.126080083010493,460095,0.5416669301857144,8.017364567688644e-08
slice-k-n with k=5 and n=4,(cons (+ 5 3) (cdr (range 4))),22.783240933134493,8.199862550738999,892955,0.5655875544498106,3.949852220921017e-08
keep gt 1,(filter (le? 2) var0),0.04006429998889871,0.011376215990821947,2094,0.3200501086399714,2.2888398120178035e-05
remove-index-k with k=3,,24.873141030798706,9.187289043029978,1000000,0.5695683779678672,3.5030502734549445e-08
mult-k with k=5,empty,2.090999714710051e-06,3.0380001589946914e-06,1,0.027112093375181424,0.027112093375181424
take-k with k=4,,24.074711658139222,9.182432308994066,1000000,0.5695683683691459,3.503051509591957e-08
prepend-k with k=2,(cons 2 var0),0.0034735230010483065,0.0014294739985416527,204,0.2090857808312723,0.0002435541141187302
slice-k-n with k=4 and n=2,(map (index 3) (append (cdr var0) (cons var0 empty))),0.5895513160189694,0.18358595697372948,30559,0.43607273078944075,1.383732304833365e-06
keep gt 2,(filter (le? 3) var0),0.04473195200171176,0.012189824983124709,2352,0.3255961821027335,2.0161896715326425e-05
odds,,23.721641276822538,10.398969698153905,1000000,0.5695683566677716,3.503050564773298e-08
slice-k-n with k=3 and n=5,,24.54891956110123,9.19686234114306,1000000,0.5695679688673362,3.5030614053386416e-08
slice-k-n with k=3 and n=4,,24.3723672827914,9.933234209655893,1000000,0.5695680201947674,3.503063450286348e-08
add-k with k=2,(map (+ 2) var0),0.045557252997696196,0.01232181299928925,2434,0.3272205412098759,1.9389267230561454e-05
drop-k with k=5,,24.548983905201112,10.21330821688889,1000000,0.5695683217751113,3.503053207759824e-08
drop-k with k=3,(cdr (cdr (cdr var0))),0.0017544190013722982,0.0004513889989539166,93,0.16981401302732071,0.0005230399075989876
caesar-cipher-k-modulo-n with k=3 and n=4,(map (mod 4) (map (+ 3) var0)),9.320892549047585,2.925329002802755,388312,0.535378822694908,9.590077505701819e-08
mult-k with k=2,(map (* 2) var0),0.043026091007504874,0.014255883001169423,2320,0.3249451464415368,2.044456297027422e-05
prepend-k with k=4,(cons 4 var0),0.0028958539983250375,0.0006835449994468945,168,0.1991754952861352,0.0003024784765709155
prepend-index-k with k=3,(cons (index 2 var0) var0),0.6611208990489104,0.20776592106358294,33907,0.4404428215155516,1.2337632303827784e-06
slice-k-n with k=2 and n=2,(map (index 1) (append (cdr var0) (cons var0 empty))),0.7883823350189232,0.24497071500718448,40204,0.447504634999906,1.023771206916774e-06
rotate-k with k=1,,26.025750131902896,8.129055975958181,1000000,0.5695683152658702,3.5030534943308044e-08
remove eq 2,,23.915530074157232,7.831186076143695,1000000,0.5695683663254543,3.503051987812872e-08
caesar-cipher-k-modulo-n with k=4 and n=5,(map (mod 5) (map (+ 4) var0)),14.995435978970818,7.038949765017151,617810,0.5524350977631522,5.8536871886108475e-08
replace-all-with-index-k with k=2,(map (if (empty? empty) (index 1 var0)) var0),3.274687686982361,1.0229085490454963,149867,0.4992924536942085,2.5446250895478857e-07
rotate-k with k=3,,24.294922556181064,9.237434173032398,1000000,0.5695682514966532,3.503057891728607e-08
caesar-cipher-k-modulo-n with k=5 and n=4,(map (mod 4) (map (+ 5) var0)),14.86037959822579,4.717485511079303,618834,0.5524949905775545,5.844065978569497e-08
add-k with k=4,(map (+ 4) var0),0.0188556090010934,0.00505058899125288,987,0.2838146945150619,4.8444721557613625e-05
keep gt 3,(filter (le? 4) var0),0.052958002999730525,0.017214810013229,2890,0.3352820565746347,1.5886528467106528e-05
caesar-cipher-k-modulo-n with k=5 and n=2,(map (- 1) var0),0.022211918003449682,0.006482934994892275,1176,0.2922415106683863,4.102116201706745e-05
slice-k-n with k=2 and n=5,,25.408836908760804,8.496110712153495,1000000,0.5695679795652775,3.503060800521696e-08
rotate-k with k=5,,24.381589247823285,9.96264143804865,1000000,0.5695674040208129,3.503052322146859e-08
drop-k with k=2,(cdr (cdr var0)),0.0010776079971037689,0.00027891799982171506,62,0.15124083134325056,0.0006903508515950291
drop-k with k=4,,23.444407763172876,8.302866884179366,1000000,0.5695683553572235,3.503053063757354e-08
remove-mod-k with k=5,,23.93990922690591,11.517774973708583,1000000,0.5695683686719104,3.503050347650922e-08
add-k with k=5,(map (+ 5) var0),0.03267788200901123,0.009396097998433106,1733,0.31098342891257896,2.7739278796129286e-05
caesar-cipher-k-modulo-n with k=2 and n=4,(map (mod 4) (map (+ 2) var0)),12.883341843052676,6.682351442116669,565441,0.549221519544051,6.434914813674234e-08
remove-mod-head,,23.45137202872138,13.008204850845232,1000000,0.5695683596769491,3.503051788734614e-08
remove gt 0,(filter (eq? (length empty)) var0),0.023551670006781933,0.006641164998654858,1180,0.2924049777270185,4.082594634647337e-05
remove eq 0,(filter (le? 1) var0),0.02518411700566503,0.006731401998877118,1349,0.2988426567400437,3.581189545676909e-05
keep-mod-k with k=2,(filter (is-mod 2) var0),0.025111991999438033,0.006562204011061112,1204,0.2933752694908247,4.0010992436249444e-05
slice-k-n with k=5 and n=2,(map (index 4) (append (cdr var0) (cons var0 empty))),0.9973736899969481,0.3189571110183351,49986,0.45640959028014355,8.132613714344024e-07
take-k with k=5,,23.769071199798418,9.268839496958662,1000000,0.5695683085473026,3.503053141647967e-08
evens,(filter (is-mod 2) var0),0.023727318007331633,0.006515824000871362,1204,0.2933752810901635,4.001099672028514e-05
add-k with k=3,(map (+ 3) var0),0.06777288400144243,0.023880352995092835,3612,0.34528103751854783,1.217947328966456e-05
prepend-k with k=1,(cons 1 var0),0.004924944998037972,0.0010828549989128078,246,0.21776004475955654,0.00018438164054443914
append-k with k=5,(append 5 var0),0.0015636250000170548,0.00036377100104800775,86,0.16601401059865142,0.0005595284234817686
tail,(cdr var0),9.744000180944568e-06,1.8194999938714318e-05,2,0.03604300467741169,0.00893067002123239
add-k with k=1,(map (+ 1) var0),0.03074586800948964,0.008369393015073001,1601,0.307159221213214,3.010886375869489e-05
prepend-k with k=0,(cons 0 var0),0.0026650100016922806,0.0006132780008556438,148,0.19279391213814479,0.00033462285201514173
