task_name,program,search_time,evaluation_time,nb_programs,cumulative_probability,probability
caesar-cipher-k-modulo-n with k=3 and n=5,,47.226545754647304,20.429320595558238,1000000,9.407449212678088e-10,3.0105380861556064e-30
slice-k-n with k=5 and n=4,,47.23725550369272,20.379968196125446,1000000,9.080046783693603e-10,3.786948547661415e-24
keep gt 1,(if (iter (+ 4 2) (iter 5) not (eq? 3 0)) (unfold (max 1 1) (le? 1) (+ 0) (+ 3)) (filter (le? 2) (cons 1 var0))),0.201499399995555,0.08922664297824667,4282,4.738979188414121e-16,2.0691946073337556e-21
remove-index-k with k=3,,50.097969845007356,21.813193058547768,1000000,2.099351591895911e-09,5.185429928460731e-25
mult-k with k=5,(unfold (if (empty? empty) (min 5) (* 5) (max 5 5)) (if (is-prime 0) (gt? 4) (le? 3)) (iter (* 3 1) (iter 1) (max 2)) (if (gt? 4 1) (- 0 2))),0.00019949600027757697,9.088900060305605e-05,2,1.4359342333170268e-29,1.4252304259153123e-29
take-k with k=4,,50.39422733534502,22.343554025869707,1000000,1.2723770718035524e-07,6.712307277388058e-28
prepend-k with k=2,(if (if (gt? 0 0) (eq? 5) (is-mod 0) (+ 3 4)) (unfold (length empty) (eq? 5) (+ 3) (+ 5)) (if (is-square 3) (append 2 var0) (cons 2 var0))),0.069039326017446,0.029123267007889808,1240,1.0279145111294095e-16,1.0283801492524929e-25
slice-k-n with k=4 and n=2,,50.31798989071194,21.722533629763348,1000000,1.089443823131367e-06,1.0427322586169566e-26
keep gt 2,(if (if (gt? 1 4) (gt? 2) is-prime (length var0)) (filter (le? 3) var0) (if (empty? empty) (append 3 empty) (append 2 var0))),20.26460791902082,8.742928736045542,412846,9.319763739023845e-10,4.132986183847193e-19
odds,,48.615033911397404,21.115000295416394,1000000,2.094367192710492e-07,3.673743601479377e-29
slice-k-n with k=3 and n=5,,49.68710807617663,21.628079240457737,1000000,2.8106891480557443e-05,1.361899201798583e-23
slice-k-n with k=3 and n=4,,49.003959326853874,21.379599099225743,1000000,2.448849735813689e-10,5.942863114189329e-28
add-k with k=2,(if (if (le? 2 3) (gt? 5) is-prime (min 4 1)) (map (+ 2) var0) (unfold (+ 5 3) (le? 3) (max 4) (- 2))),23.483151423894014,10.207805486229518,484633,4.9341855340647e-09,1.432372751604211e-22
drop-k with k=5,,48.53639272219425,21.255280737675093,1000000,3.930862677623061e-09,1.641361641137809e-28
drop-k with k=3,,48.440574063829445,21.11120724400189,1000000,1.5960514411940892e-08,1.072598323547188e-31
caesar-cipher-k-modulo-n with k=3 and n=4,,48.9228231942061,21.383526724244803,1000000,8.601342597008129e-10,4.745948714561199e-30
mult-k with k=2,(if (if (gt? 2 2) (is-mod 5) (is-mod 2) 4) (map (* 2) var0) (unfold (length empty) is-square (* 4) (mod 2))),10.07990588505345,5.179907910027396,206749,3.06349905159637e-08,1.5803769567049904e-20
prepend-k with k=4,(if (if (car empty) (eq? 4) (eq? 5) (max 0 3)) (unfold (min 4 0) is-square (mod 1) (- 5)) (if (le? 2 0) (range 2) (cons 4 var0))),0.05307322601129272,0.023059023990754213,1108,4.3309731945097546e-16,6.5843043849534855e-24
prepend-index-k with k=3,(if (if (is-mod 1 2) is-square is-prime 0) (cons (index 2 var0) var0) (unfold 0 is-square (+ 2) (mod 5))),41.14694379653065,17.923844210597963,837670,1.9148023304564936e-09,1.7926942847660375e-18
slice-k-n with k=2 and n=2,,50.549345007869306,21.663859200825755,1000000,1.2257583569496179e-08,5.10562613131362e-30
rotate-k with k=1,,50.68991667741193,22.105391826697087,1000000,2.4753096234704873e-09,2.6091831606545185e-28
remove eq 2,,49.825178500478614,21.502633410879753,1000000,9.850530528398661e-10,1.0686920585862671e-21
caesar-cipher-k-modulo-n with k=4 and n=5,,50.37701305175415,22.028823451769313,1000000,1.870706452617215e-10,6.921353257846613e-29
replace-all-with-index-k with k=2,,49.986776792539786,21.734354750948114,1000000,3.2192679488727166e-09,2.4458636978254126e-22
rotate-k with k=3,,49.806140734258406,21.49597284612173,1000000,1.1531069870881403e-08,7.381105977046605e-26
caesar-cipher-k-modulo-n with k=5 and n=4,,49.26674190395261,21.560344905156853,1000000,5.035121434446794e-10,1.6114087272582622e-25
add-k with k=4,(if (if (eq? 3 0) (is-mod 5) (eq? 5) (mod 3 0)) (unfold (max 1 2) (eq? 3) (- 5) (max 3)) (map (+ 4) var0)),22.421041154031627,9.718617165000069,473497,4.705587715382406e-11,4.565934210855934e-22
keep gt 3,(if (iter (mod 4 1) (iter 3) not (empty? empty)) (unfold (+ 4 2) (gt? 4) (mod 1) (max 2)) (filter (le? 4) var0)),6.912323558793105,3.6602406599140522,144189,4.1633550127564896e-11,1.0489649443235672e-19
caesar-cipher-k-modulo-n with k=5 and n=2,(if (if (eq? 2 1) (is-mod 5) is-prime (min 5 0)) (unfold (max 5 1) (eq? 2) (- 2) (* 1)) (map (- 1) var0)),29.94605300821695,13.066198984063703,602666,4.78904304374216e-09,5.611837402337205e-21
slice-k-n with k=2 and n=5,,47.17280329582536,20.660057719551332,1000000,1.0235163264036046e-09,1.2129303489510686e-25
rotate-k with k=5,,47.45904678179704,20.419125206156423,1000000,3.1822510130132755e-09,6.67726125006837e-33
drop-k with k=2,(if (eq? (+ 4 1) (length empty)) (unfold (length empty) (is-mod 1) (- 5) (+ 5)) (cdr (cdr var0))),11.52510848818656,5.0394131600614855,242816,3.0073524955451653e-10,3.1221793723215727e-16
drop-k with k=4,,47.52113291122714,20.916211864448087,1000000,2.8685943600373963e-09,3.5846123292040734e-29
remove-mod-k with k=5,,47.27485382637951,20.611874271603483,1000000,6.7090795919115215e-09,3.100412670803993e-31
add-k with k=5,(if (if (le? 1 0) (gt? 1) (gt? 0) (+ 5 0)) (unfold (index 0 empty) is-prime (mod 1) (mod 1)) (map (+ 5) var0)),6.3603877548257515,2.797389611039762,134120,7.451821163035946e-08,4.2515659453815095e-22
caesar-cipher-k-modulo-n with k=2 and n=4,,48.00928866463073,25.428757535963086,1000000,2.904500161590834e-08,3.516376432429581e-30
remove-mod-head,,47.78600784525861,21.385792920415042,1000000,8.345895018410874e-08,1.8148166245346932e-26
remove gt 0,(if (if (empty? empty) (le? 2) (eq? 3) (length var0)) (filter (eq? 0) (append 4 var0)) (unfold (+ 2 4) (eq? 3) (min 1) (+ 0))),0.056740220985375345,0.029627589025039924,1180,8.894075865603738e-16,1.2474921818946917e-21
remove eq 0,(if (eq? (max 0 2) (index 0 var0)) (unfold (* 2 1) (gt? 5) (max 4) (* 4)) (filter (le? 1) var0)),0.15135103398006322,0.06634552303512464,3198,3.2866970788417274e-14,2.749972807788572e-20
keep-mod-k with k=2,(if (if (index 4 empty) (eq? 4 3) (eq? 2 3)) (unfold (max 0 2) (eq? 3) (mod 1) (min 3)) (filter (is-mod 2) var0)),1.6981375740333533,0.7489630369364022,35755,1.0128881705489242e-10,1.343318863320946e-21
slice-k-n with k=5 and n=2,,47.730054913386994,21.148010169406007,1000000,8.388754070424477e-09,1.3323936637505027e-22
take-k with k=5,,47.40455668933464,20.8808577550235,1000000,6.40588377795943e-10,9.974574591728723e-30
evens,(if (if (gt? 5 5) (eq? 4) (eq? 4) (length empty)) (iter (max 4 2) (append 0) (car empty)) (filter (is-mod 2) var0)),1.1183290479684729,0.49482011607688037,23321,4.2575154420893645e-12,6.026081623385353e-19
add-k with k=3,(if (if (empty? empty) (eq? 4) is-prime (* 2 5)) (unfold (max 2 2) (eq? 2) (mod 3) (mod 2)) (map (+ 3) var0)),6.263453008024953,3.2433719320515593,132240,1.3784437994667824e-10,1.424047434646105e-20
prepend-k with k=1,(if (if (empty? empty) (eq? 2) (is-mod 1) (mod 3 0)) (unfold (min 0 2) is-square (+ 1) (- 3)) (if (le? 1 2) (cons 1 var0) (cdr var0))),0.2632075199735482,0.11478774900842836,4933,6.347105070921027e-14,4.644103852907361e-24
append-k with k=5,(if (iter (- 3 3) (iter 5) not (gt? 0 0)) (unfold (mod 2 3) (eq? 2) (+ 2) (* 5)) (if (is-mod 5 0) (append 5 var0) (append 5 var0))),0.05210050498408236,0.023711562996140856,1042,1.4154967689259787e-16,1.8214149784789065e-25
tail,(if (if (eq? 5 2) (is-prime 2) (is-mod 4 1)) (unfold (min 5 1) is-square (mod 0) (mod 5)) (if (eq? 2 2) (cdr var0) (cons 5 empty))),0.009149523995802156,0.004228050011988671,178,5.103452887855898e-19,3.9436673369800826e-24
add-k with k=1,(if (if (car empty) (gt? 1) (is-mod 5) (max 2 4)) (unfold (car empty) (gt? 4) (max 2) (* 5)) (map (+ 1) var0)),22.206742613053393,9.87637130031544,456104,9.6834858640047e-10,1.1192156672488672e-20
prepend-k with k=0,(if (eq? (+ 0 0) (index 0 empty)) (unfold (mod 0 0) is-square (+ 0) (- 3)) (if (is-mod 3 5) (range 2) (cons 0 var0))),0.008420543000283942,0.004037757009427878,174,3.8911666241337335e-19,1.074062254198556e-22
remove-index-k with k=2,,47.92989160405159,21.049708393870787,1000000,7.609120698951608e-06,4.000472859236565e-27
remove gt 3,(if (if (is-prime 5) is-square (gt? 4) (mod 4 0)) (filter (gt? 4) (cons 5 var0)) (unfold (+ 5 3) (is-mod 0) (+ 2) (+ 0))),7.9804810390614875,3.4964721317610383,168303,2.6183270379551243e-11,3.3478686546193475e-23
caesar-cipher-k-modulo-n with k=5 and n=3,,47.46438521033451,20.62803621977946,1000000,1.196665130452951e-09,2.0095800351072688e-29
keep-mod-k with k=3,(if (iter (max 1 2) (iter 2) not (eq? 2 2)) (unfold (* 5 1) (is-mod 5) (mod 3) (* 0)) (filter (is-mod 3) (append 2 var0))),0.15381203296601598,0.06780900095509423,3038,5.832228181219406e-16,4.7152878121903036e-21
slice-k-n with k=4 and n=1,(unfold (if (is-mod 4 1) (min 1 0) (- 5 5)) (if (le? 5 0) (gt? 0) (eq? 5)) (if (gt? 1 0) (index 3 var0)) (+ (max 1 5))),0.08220480702038913,0.03579802092099271,1663,8.449002531123185e-13,2.5800509181149395e-29
append-index-k with k=2,(if (iter 5 not (eq? 0 0)) (unfold (index 0 empty) (gt? 0) (+ 4) (- 3)) (append (index 1 var0) var0)),7.067784942273647,3.1380053557495557,144466,3.353648415737002e-12,3.6210711347644895e-19
take-k with k=2,,50.3498064000014,21.861976274261906,1000000,9.437105040690592e-09,1.905063725217826e-21
caesar-cipher-k-modulo-n with k=1 and n=3,,49.09740057263298,21.052617301105784,1000000,7.47101052772216e-09,7.440323966535884e-26
replace-all-with-index-k with k=5,,49.563350863565574,21.607736836258482,1000000,4.403159394332681e-09,3.731887503977641e-28
sort-and-deduplicate,,48.74800171782954,20.901073497538164,1000000,1.583575701408001e-10,5.431258693123925e-24
