task_name,program,search_time,evaluation_time,nb_programs,cumulative_probability,probability
caesar-cipher-k-modulo-n with k=3 and n=5,,31.392719305040373,7.661561284483469,1000000,1.6826951492955171,1.2822356741393873e-08
slice-k-n with k=5 and n=4,,28.484940920123336,7.043436895990453,1000000,1.6826884902697818,1.029566990442736e-08
keep gt 1,"(2, (le?, (var0, (filter, None))))",0.04198027803795412,0.004327361926698359,908,0.3031075701687865,2.2888398120178035e-05
remove-index-k with k=3,,27.963056935332133,6.945604801490845,1000000,1.6826951511632302,1.0295607028541687e-08
mult-k with k=5,"(empty, None)",0.0004687690015998669,2.5430017558392137e-06,1,0.027112093375181424,0.027112093375181424
take-k with k=4,,28.525473420522758,7.1280558683065465,1000000,1.6826951502392016,1.2822352445457264e-08
prepend-k with k=2,"(2, (var0, (cons, None)))",0.009550947979732882,0.0019934579941036645,416,0.23347727132530302,0.0002435541141187302
slice-k-n with k=4 and n=2,"(3, (index, (var0, (cdr, (var0, (empty, (cons, (append, (map, None)))))))))",0.5457467460546468,0.10076358275910025,18102,0.7034470751848255,1.383732304833365e-06
keep gt 2,"(3, (le?, (var0, (filter, None))))",0.04345004889910342,0.004321237935073441,905,0.30304745941699207,2.0161896715326425e-05
odds,,28.976417075089557,7.45903725462631,1000000,1.6826951111207333,1.2822363214356964e-08
slice-k-n with k=3 and n=5,,29.435794566710683,7.2596859388722805,1000000,1.6826935243573267,1.188130652498315e-08
slice-k-n with k=3 and n=4,,28.82734701956724,7.081976183933875,1000000,1.6826937520974217,1.1881300872440811e-08
add-k with k=2,"(2, (+, (var0, (map, None))))",0.05627317407197552,0.005948961148533272,1271,0.3135523275327627,1.9389267230561454e-05
drop-k with k=5,,27.746746259079373,6.863082952073455,1000000,1.6826949436575125,1.282236483477581e-08
drop-k with k=3,"(var0, (cdr, (cdr, (cdr, None))))",0.007624109017342562,0.0019552180092432536,381,0.20402665716497947,0.0005230399075989876
caesar-cipher-k-modulo-n with k=3 and n=4,,29.435014743488864,7.150857333406748,1000000,1.682695149348092,1.2822360237381655e-08
mult-k with k=2,"(2, (*, (var0, (map, None))))",0.05483124310921994,0.007277072061697254,1295,0.31419165587224507,2.044456297027422e-05
prepend-k with k=4,"(4, (var0, (cons, None)))",0.01019954200819484,0.0020380469868541695,418,0.2338845981011133,0.0003024784765709155
prepend-index-k with k=3,"(2, (var0, (index, (var0, (cons, None)))))",0.6947731893887976,0.20782848112503416,36080,0.9945742617804372,1.2337632303827784e-06
slice-k-n with k=2 and n=2,"(1, (index, (var0, (cdr, (var0, (empty, (cons, (append, (map, None)))))))))",0.5315473049231514,0.09888673306340934,18098,0.7034420194987121,1.023771206916774e-06
rotate-k with k=1,,27.37671269026032,6.849316032163188,1000000,1.682694900175198,1.2822368152267682e-08
remove eq 2,,28.78988183803449,6.998680607201095,1000000,1.682695146624657,1.282235767876864e-08
caesar-cipher-k-modulo-n with k=4 and n=5,,27.776593894235702,6.902126169865369,1000000,1.6826951084089925,1.282235989195775e-08
replace-all-with-index-k with k=2,"(empty, (empty?, (1, (var0, (index, (if, (var0, (map, None))))))))",4.5774152509184205,1.1466538203385426,172596,1.1694366165676822,2.1074060211360475e-07
rotate-k with k=3,,29.43438202362813,7.296010252022825,1000000,1.6826946485179701,1.029560526980721e-08
caesar-cipher-k-modulo-n with k=5 and n=4,,29.126467018380936,7.310736186696886,1000000,1.6826951092471953,1.2822357900244669e-08
add-k with k=4,"(4, (+, (var0, (empty, (append, (car, (map, None)))))))",0.05400818004272878,0.005551379021198954,1141,0.3106911430362012,1.0156125375240206e-05
keep gt 3,"(4, (le?, (var0, (filter, None))))",0.041637450020061806,0.00467426800969406,903,0.30300853402090155,1.5886528467106528e-05
caesar-cipher-k-modulo-n with k=5 and n=2,"(1, (-, (var0, (map, None))))",0.05751998610503506,0.006342662090901285,1293,0.31411871859329066,4.102116201706745e-05
slice-k-n with k=2 and n=5,,28.416938918107917,7.140347144315456,1000000,1.6826935440896453,1.1881309416079524e-08
rotate-k with k=5,,28.102346181156463,6.939107540398254,1000000,1.6826909582019083,1.9383843129741244e-08
drop-k with k=2,"(var0, (cdr, (cdr, None)))",0.00763067197840428,0.001916287023050245,379,0.20333544610302445,0.0006903508515950291
drop-k with k=4,,28.19020554810777,7.006945333258045,1000000,1.6826950767044577,1.2822368646806371e-08
remove-mod-k with k=5,,28.62834079246386,7.036416694994841,1000000,1.6826951694972563,1.2822359351809623e-08
add-k with k=5,"(5, (+, (var0, (map, None))))",0.05673045897128759,0.006109429039497627,1277,0.3136665803020836,2.7739278796129286e-05
caesar-cipher-k-modulo-n with k=2 and n=4,,29.622119792449666,8.328418788161798,1000000,1.6826950916678458,1.2822360148591067e-08
remove-mod-head,,28.26003479942665,6.988740464730654,1000000,1.6826950980379078,1.2822363382844589e-08
remove gt 0,"(1, (gt?, (var0, (filter, None))))",0.04377791801744024,0.004702827009168686,894,0.30280497802739026,1.8142905408724838e-05
remove eq 0,"(1, (le?, (var0, (filter, None))))",0.04247540497453883,0.00419169394808705,912,0.3032257406752557,3.581189545676909e-05
keep-mod-k with k=2,"(2, (is-mod, (var0, (filter, None))))",0.042209235009067925,0.004266119005478686,936,0.3048734291484475,4.0010992436249444e-05
slice-k-n with k=5 and n=2,"(4, (index, (var0, (cdr, (var0, (empty, (append, (append, (map, None)))))))))",4.919484210015071,1.3187798824328638,201598,1.1866487586014278,5.344756773556261e-07
take-k with k=5,,28.57315161214865,7.064644627065718,1000000,1.6826948737836003,1.2822357677399423e-08
evens,"(2, (is-mod, (var0, (filter, None))))",0.04331953495784546,0.004503704036324052,936,0.3048734502481275,4.001099672028514e-05
add-k with k=3,"(3, (+, (var0, (map, None))))",0.05577144088965724,0.007432539958244888,1270,0.3135329605179115,1.217947328966456e-05
prepend-k with k=1,"(1, (var0, (cons, None)))",0.009104746968660038,0.001936126958753448,415,0.2332337132629846,0.00018438164054443914
append-k with k=5,"(5, (append, (var0, (empty, (cons, (map, (car, None)))))))",0.006419141020160168,0.001111994992243126,223,0.1469825919594033,0.0001165874822315096
tail,"(length, (range, (var0, (cdr, (map, (map, None))))))",0.005869018008525018,0.000564879006560659,100,0.06663820088882626,0.0003829848867171386
add-k with k=1,"(1, (+, (var0, (map, None))))",0.05524790504568955,0.005927563914156053,1278,0.31369667207744956,3.010886375869489e-05
prepend-k with k=0,"(empty, (cdr, (length, (var0, (cons, None)))))",0.00933328400424216,0.0020481979663600214,417,0.23358211506317664,0.00010484666105714517
