task_name,program,search_time,evaluation_time,nb_programs,cumulative_probability,probability
caesar-cipher-k-modulo-n with k=3 and n=5,,22.05812835261895,22.362453532135987,1000000,0.31730509852273714,1.0797863418969407e-14
slice-k-n with k=5 and n=4,,22.15190846114274,22.40435441707814,1000000,0.31730419716982344,1.079778421434822e-14
keep gt 1,,22.7232906610152,23.227177688539086,1000000,0.3173050934430134,1.0797861746408828e-14
remove-index-k with k=3,,23.211705099995015,23.58468589426775,1000000,0.317305092024587,1.0797860195658913e-14
mult-k with k=5,"(empty, None)",4.345399793237448e-05,1.2541000614874065e-05,1,0.027112093375181424,0.027112093375181424
take-k with k=4,,22.969247655637446,23.651807960530277,1000000,0.3173050984065507,1.0797863084600938e-14
prepend-k with k=2,,23.009954874905816,23.403202920759213,1000000,0.31730509811523516,1.0797867100150858e-14
slice-k-n with k=4 and n=2,,23.039137488151027,22.96348539065366,1000000,0.31730509235331295,1.079786713930983e-14
keep gt 2,,22.852197487642115,22.632110667196685,1000000,0.3173050982874771,1.0797862939097663e-14
odds,,22.400382580322912,22.5619934594215,1000000,0.31730509118402916,1.0797866577070495e-14
slice-k-n with k=3 and n=5,,22.674172796629136,22.551336574251764,1000000,0.3173048561715926,1.0797850496549318e-14
slice-k-n with k=3 and n=4,,23.206645546983054,22.584615067054983,1000000,0.3173048855779012,1.0797847020388056e-14
add-k with k=2,,22.609190656541614,22.484759778366424,1000000,0.31730509442141513,1.079786252061122e-14
drop-k with k=5,,22.870301245020528,22.67280868475791,1000000,0.31730507329223084,1.0797868398375186e-14
drop-k with k=3,"(var0, (cdr, (cdr, (cdr, None))))",0.02824309505376732,0.0022934640146559104,211,0.09566559170705627,0.0005230399075989876
caesar-cipher-k-modulo-n with k=3 and n=4,,22.272390392696252,22.71618874725391,1000000,0.31730509730257106,1.0797864293159759e-14
mult-k with k=2,,22.462089694054157,23.000299561936117,1000000,0.31730509515702277,1.0797865800150753e-14
prepend-k with k=4,,22.982267327919544,22.972027150390204,1000000,0.3173050980938836,1.0797863825451043e-14
prepend-index-k with k=3,,22.540853498285287,22.601592180399166,1000000,0.31730508854536094,1.079786595668962e-14
slice-k-n with k=2 and n=2,,22.778681362236966,22.594563815320726,1000000,0.3173050946570305,1.079786983271302e-14
rotate-k with k=1,,22.680490343132988,22.611896802183765,1000000,0.3173050745085126,1.0797855116184161e-14
remove eq 2,,22.760440783058584,22.522739853258827,1000000,0.3173050971953065,1.0797864619557088e-14
caesar-cipher-k-modulo-n with k=4 and n=5,,22.5542959742088,22.624068564393383,1000000,0.31730509158427894,1.0797861137674131e-14
replace-all-with-index-k with k=2,,22.484170247073052,23.116504674544558,1000000,0.31730511465196204,1.0797871587033907e-14
rotate-k with k=3,,22.91747260739794,23.063571232887625,1000000,0.3173050356293746,1.0797860236265716e-14
caesar-cipher-k-modulo-n with k=5 and n=4,,23.14451379176171,22.915286642361025,1000000,0.3173050948504028,1.079786293420833e-14
add-k with k=4,,22.97417056767881,22.585154295324173,1000000,0.31730509564568593,1.079786449954254e-14
keep gt 3,,22.62503488000948,22.937525723973522,1000000,0.31730509550959324,1.0797864202150783e-14
caesar-cipher-k-modulo-n with k=5 and n=2,,22.732532208283374,22.791616811577114,1000000,0.31730510559695274,1.079786331448794e-14
slice-k-n with k=2 and n=5,,23.02924418925977,22.753254077528254,1000000,0.31730486385780327,1.0797839314026068e-14
rotate-k with k=5,,22.993482426310948,22.7416111297498,1000000,0.3173045166863656,1.0797808859786088e-14
drop-k with k=2,"(var0, (cdr, (cdr, None)))",0.006427695989259519,0.0003650619910331443,34,0.07783126779801579,0.0006903508515950291
drop-k with k=4,,23.091543796057522,22.862328149276436,1000000,0.3173050882848105,1.0797865737969166e-14
remove-mod-k with k=5,,22.327470328033087,22.80442891225539,1000000,0.3173051009684366,1.0797867168126832e-14
add-k with k=5,,22.53424498968525,22.73056114911742,1000000,0.3173051033437163,1.0797863983431523e-14
caesar-cipher-k-modulo-n with k=2 and n=4,,22.80585302720283,22.937184979462472,1000000,0.3173050857005847,1.0797861915869492e-14
remove-mod-head,,22.85521878300642,22.764859707276628,1000000,0.3173050903327879,1.0797863365585003e-14
remove gt 0,,22.76874570226937,22.780636778115877,1000000,0.3173050878457261,1.0797868284353434e-14
remove eq 0,,22.736711678749998,22.525928698436473,1000000,0.3173051051384618,1.0797865795679047e-14
keep-mod-k with k=2,,22.13319628177851,22.644680893281475,1000000,0.3173050903327879,1.0797863365585003e-14
slice-k-n with k=5 and n=2,,22.82247850487329,22.527986527245957,1000000,0.3173049908974045,1.0797851499573306e-14
take-k with k=5,,22.700799671445566,22.561284166229598,1000000,0.3173050564066086,1.0797862419820905e-14
evens,,22.73505622279481,22.617780512096942,1000000,0.3173051040595285,1.0797866302375023e-14
add-k with k=3,,22.450837670498004,22.880401413356594,1000000,0.3173050961634318,1.0797865251669162e-14
prepend-k with k=1,,22.491490272230294,22.66054814634117,1000000,0.31730509351833436,1.0797870546385593e-14
append-k with k=5,,22.818079984419455,22.584853297346854,1000000,0.31730510924863115,1.0797866746143093e-14
tail,"(var0, (cdr, None))",0.0005785950052086264,7.24709898349829e-05,3,0.0413823707273896,0.00893067002123239
add-k with k=1,,22.731273135905212,22.573353827072424,1000000,0.31730510047285393,1.0797870126229274e-14
prepend-k with k=0,,22.660135080346663,22.538330169321853,1000000,0.31730508998093127,1.0797870994137237e-14
remove-index-k with k=2,,22.183265962434234,22.602146925666602,1000000,0.317305100536577,1.0797867520677183e-14
remove gt 3,,22.463926177850226,22.540526875345677,1000000,0.31730510345862484,1.07978653942364e-14
caesar-cipher-k-modulo-n with k=5 and n=3,,22.741268280537042,22.465431313343288,1000000,0.31730511252191607,1.0797866087183444e-14
keep-mod-k with k=3,,22.710894581912726,22.561138107732404,1000000,0.3173050889069961,1.079786800490087e-14
slice-k-n with k=4 and n=1,,22.513437517438433,22.51375108913635,1000000,0.3173050965940533,1.0797865281161749e-14
append-index-k with k=2,,22.55388608884823,22.582696266748826,1000000,0.31730510145535634,1.0797863827496678e-14
take-k with k=2,,22.858343446758226,22.55274932449538,1000000,0.31730509682109104,1.0797866479111348e-14
caesar-cipher-k-modulo-n with k=1 and n=3,,22.79301307744754,22.543193380406592,1000000,0.31730511502529735,1.0797861369229522e-14
replace-all-with-index-k with k=5,,22.90704879401892,22.59139995212172,1000000,0.31730509434178106,1.0797856098270825e-14
sort-and-deduplicate,,22.14942599053029,22.365618609823287,1000000,0.31730508909608346,1.0797867745705346e-14
pow-k with k=5,"(empty, None)",4.4562999391928315e-05,1.676700048847124e-05,1,0.027112240158233384,0.027112240158233384
sort,,21.975630377106427,21.943697907692695,1000000,0.31730509648712985,1.079786595631748e-14
remove-mod-k with k=4,,22.14054781638697,21.860285655748157,1000000,0.31730509987595534,1.0797865345321736e-14
take-k with k=1,,22.085630609064538,21.71204884981853,1000000,0.3173050973882071,1.0797865489191454e-14
append-k with k=2,,21.747759815516474,21.683731166660436,1000000,0.3173050986109604,1.079786410092655e-14
slice-k-n with k=4 and n=3,,21.876577377217473,21.70347284246236,1000000,0.31730496671368025,1.0797859979896474e-14
mult-k with k=4,,21.930197355351993,21.684737464973296,1000000,0.3173050719989764,1.0797858069499248e-14
slice-k-n with k=5 and n=1,,24.50474242643395,23.35639630998776,1000000,0.3173050817329391,1.0797859130078806e-14
modulo-k with k=2,,22.500925006752368,22.52960108887055,1000000,0.3173051009684366,1.0797867168126832e-14
slice-k-n with k=3 and n=1,,22.281870735132543,22.584646993789647,1000000,0.31730509645610416,1.0797863531432807e-14
append-k with k=0,,22.602533214558207,22.413200484632398,1000000,0.31730509632209297,1.079786684420966e-14
keep eq 3,,22.4076890475626,22.388427139514533,1000000,0.31730509453607963,1.0797864619392896e-14
remove-index-k with k=4,,22.348603590748098,21.96456064163067,1000000,0.3173051019735126,1.0797865794631057e-14
rotate-k with k=4,,21.65087768774538,21.612964159387047,1000000,0.31730495282813403,1.0797837029643238e-14
pow-k with k=4,"(3, (var0, (cons, (cdr, None))))",0.026343891950091347,0.00210602895822376,219,0.09675731740914188,3.606292825216492e-05
prepend-k with k=3,,21.43100202561618,21.592895377638342,1000000,0.3173050964636977,1.0797865674533296e-14
append-k with k=4,,22.071685904658807,21.82435079930292,1000000,0.31730510058955624,1.0797866138213195e-14
caesar-cipher-k-modulo-n with k=1 and n=2,,21.650312873505754,21.61024543201347,1000000,0.3173050971953065,1.0797864619557088e-14
pow-k with k=3,"(3, (var0, (cons, (cdr, None))))",0.025691565984743647,0.0021749400184489787,219,0.09675729923470143,3.606287707663005e-05
replace-all-with-index-k with k=1,,21.870341618807288,21.67247222118749,1000000,0.3173051023889891,1.0797867599701834e-14
modulo-k with k=4,,21.560835266354843,21.56457731098635,1000000,0.31730510708373644,1.0797863487983695e-14
slice-k-n with k=3 and n=2,,22.024179983171052,21.727442412273376,1000000,0.31730510109654525,1.0797864483194113e-14
repeat,,22.018865014026233,21.770001598189992,1000000,0.3173050855980961,1.0797868044478481e-14
slice-k-n with k=4 and n=4,,21.964998958552314,21.774875312090444,1000000,0.31730414004798646,1.0797775912347566e-14
slice-k-n with k=1 and n=3,,22.039777536781912,21.813833207495918,1000000,0.3173050766587887,1.0797865310028512e-14
keep-mod-head,,21.7689360300501,21.72658312506246,1000000,0.31730509052243755,1.0797868019771725e-14
remove-mod-k with k=2,,21.47290669947688,21.70288691262249,1000000,0.31730509632209297,1.079786684420966e-14
take-k with k=3,,21.686649716517422,21.74989912511228,1000000,0.3173050974087096,1.0797866466018726e-14
remove-index-k with k=1,"(var0, (cdr, None))",0.0005497119927895255,6.929200026206672e-05,3,0.041382360307105466,0.00893067131266869
caesar-cipher-k-modulo-n with k=2 and n=3,,22.06843462969846,21.749522196194448,1000000,0.3173051107907704,1.0797863360433192e-14
slice-k-n with k=1 and n=1,,22.014771712201764,21.724397504833178,1000000,0.31730509833041337,1.0797868490137756e-14
modulo-k with k=1,,21.933587068517227,21.73698600705393,1000000,0.31730508921341255,1.0797865160861165e-14
remove-mod-k with k=3,,21.856821649736958,21.97337327193236,1000000,0.31730510286533575,1.0797864883885122e-14
slice-k-n with k=2 and n=3,,22.105515110277338,21.73196363895113,1000000,0.3173050657131786,1.079786339531581e-14
prepend-index-k with k=2,,21.992310822883155,21.907790102355648,1000000,0.31730510296193687,1.079786180443831e-14
caesar-cipher-k-modulo-n with k=4 and n=3,,21.828726403953624,21.883580843896198,1000000,0.31730511502529735,1.0797861369229522e-14
repeat-many,,21.491196589908213,21.818119082388876,1000000,0.3173051018088433,1.0797867896400978e-14
slice-k-n with k=3 and n=3,,21.75533232898306,21.85807279454457,1000000,0.3173050922646429,1.0797864226673241e-14
pop,,22.467395250758273,22.75485193222994,1000000,0.31730509560359876,1.0797866106449436e-14
modulo-k with k=3,,21.742393764630833,21.394279950160126,1000000,0.3173050857005847,1.0797861915869492e-14
replace-all-with-index-k with k=3,,21.442113795106707,21.35499976247229,1000000,0.3173050992410319,1.0797863356973641e-14
keep eq 1,,21.328815574954206,21.48961066910124,1000000,0.31730509358872433,1.0797866536789061e-14
slice-k-n with k=2 and n=1,,21.616791020103847,21.292123872095544,1000000,0.3173051039517375,1.0797866391313661e-14
caesar-cipher-k-modulo-n with k=1 and n=5,,21.690427831817942,21.264101286760706,1000000,0.31730510157668235,1.0797865163480202e-14
keep gt 0,,21.441677346549113,21.35352030400827,1000000,0.3173051033495962,1.0797864351988038e-14
rotate-k with k=2,,21.049522391527717,21.291162471461575,1000000,0.3173050942024596,1.0797869724218194e-14
reverse,,21.28239881481568,21.29535196479992,1000000,0.31730510030227144,1.0797868176520167e-14
remove eq 1,,21.72700105010881,21.563643265479186,1000000,0.3173051044448052,1.079786509201639e-14
repeat-k with k=2,,21.830597858439432,21.600314102695847,1000000,0.31730509602290946,1.0797866323337462e-14
remove gt 1,,21.66341608143557,21.595952004368883,1000000,0.3173050947533601,1.0797867062092827e-14
mult-k with k=0,,21.565071883822384,21.49222494818241,1000000,0.31730509852273714,1.0797863418969407e-14
slice-k-n with k=1 and n=5,,21.956247523026832,21.555362111532304,1000000,0.31730507703187866,1.0797864431342431e-14
keep eq 0,,21.97232071516919,21.614067391281424,1000000,0.3173050878457261,1.0797868284353434e-14
append-k with k=3,,21.798857162582863,21.653669423860265,1000000,0.3173050953354463,1.0797867120905369e-14
slice-k-n with k=2 and n=4,,21.22093994446186,21.54347437270917,1000000,0.31730494655898434,1.0797843740406939e-14
prepend-k with k=5,,21.49014392020763,21.551733733409492,1000000,0.3173050966757657,1.0797870851079006e-14
caesar-cipher-k-modulo-n with k=2 and n=5,,21.883518208240275,21.535908677862608,1000000,0.31730509753244157,1.0797865480111857e-14
prepend-index-k with k=1,,21.75990521865606,21.563430876929488,1000000,0.3173050951125643,1.0797866648924006e-14
remove gt 2,,21.443933494359953,21.46995950429846,1000000,0.31730508494110005,1.0797861937359617e-14
keep primes,,21.404302077346074,21.512228029416292,1000000,0.31730503240211744,1.0797873654062283e-14
append-k with k=1,,21.80179972921178,21.745552166750713,1000000,0.3173050837821032,1.0797862381433296e-14
caesar-cipher-k-modulo-n with k=1 and n=4,,21.727624847837433,21.753630851366324,1000000,0.3173050986109604,1.079786410092655e-14
slice-k-n with k=1 and n=2,,21.492870059337292,21.502941011072835,1000000,0.3173051128094076,1.0797868917658663e-14
caesar-cipher-k-modulo-n with k=3 and n=2,,21.096982490103983,21.53277862228424,1000000,0.3173051015003272,1.0797865002562815e-14
keep eq 2,,21.501460596424295,21.70888619039033,1000000,0.3173051023463129,1.0797867041761313e-14
remove eq 3,,22.157024034728238,21.643513293347496,1000000,0.31730510374337834,1.079786408617786e-14
keep-mod-k with k=5,,21.830661575957492,21.519149835890858,1000000,0.31730509052243755,1.0797868019771725e-14
slice-k-n with k=5 and n=3,,21.68679041152791,21.496779344655806,1000000,0.3173048705465695,1.079783968215091e-14
drop-k with k=1,"(var0, (cdr, None))",0.0005623600009130314,6.968499656068161e-05,3,0.041382358882404116,0.008930669580366675
