task_name,program,search_time,evaluation_time,nb_programs,cumulative_probability,probability
caesar-cipher-k-modulo-n with k=3 and n=5,,1.5700158480467508,44.31279267293576,1000000,1.358391967722892e-10,2.4038136309577153e-19
slice-k-n with k=5 and n=4,,1.5837837959334138,44.35542090865056,1000000,1.3583734906739667e-10,2.40371455811496e-19
keep gt 1,,1.6107415080841747,43.823896876761864,1000000,1.3583912022832744e-10,2.4038127123614303e-19
remove-index-k with k=3,,1.5426627996275784,43.74135517105606,1000000,1.3583913973486358e-10,2.403811555987136e-19
mult-k with k=5,"(var0, (empty, (cons, (empty?, (3, (0, (-, (empty, (append, (3, (empty, (index, (4, (range, (var0, (if, (if, None)))))))))))))))))",0.005278519005514681,3.8865997339598835e-05,1,1.551618475215836e-11,1.551618475215836e-11
take-k with k=4,,1.5457886958029121,43.74215213374555,1000000,1.3583915981936844e-10,2.4038124954336013e-19
prepend-k with k=2,,1.5457446890577557,43.76076953646407,1000000,1.3583919946587042e-10,2.4038126854347904e-19
slice-k-n with k=4 and n=2,,1.5481425183606916,43.834535157737264,1000000,1.358391849638114e-10,2.4038128593274524e-19
keep gt 2,,1.5369822739521624,43.71415651602001,1000000,1.3583918355813342e-10,2.4038132537509577e-19
odds,,1.5598303653750918,84.14335536007275,1000000,1.3583918333615218e-10,2.4038133368977315e-19
slice-k-n with k=3 and n=5,,1.5410995142883621,43.688338180683786,1000000,1.358387125858417e-10,2.4037888611482723e-19
slice-k-n with k=3 and n=4,,1.5377304346111487,43.5981822938993,1000000,1.3583875636383436e-10,2.40379021190222e-19
add-k with k=2,,1.5405257321181125,43.66611382544215,1000000,1.3583910048901157e-10,2.4038115522198414e-19
drop-k with k=5,,1.543460955756018,43.97493970258074,1000000,1.3583925224962933e-10,2.4038142375768144e-19
drop-k with k=3,,1.5449813975646975,44.163488916747156,1000000,1.3583909745786076e-10,2.403810512165498e-19
caesar-cipher-k-modulo-n with k=3 and n=4,,1.5501506205109763,44.12777260715666,1000000,1.3583918044041429e-10,2.4038132029636655e-19
mult-k with k=2,,1.5721243790831068,84.98171789407934,1000000,1.3583924123883068e-10,2.4038140165223776e-19
prepend-k with k=4,,1.5483524215960642,44.185587452404434,1000000,1.3583917999368012e-10,2.403812915319191e-19
prepend-index-k with k=3,,1.5467074207190308,43.90666887286352,1000000,1.3583913290093202e-10,2.403809496283752e-19
slice-k-n with k=2 and n=2,,1.54704919836513,43.95869138791022,1000000,1.3583914398584786e-10,2.4038113559810697e-19
rotate-k with k=1,,1.5416296986004454,44.25512362911104,1000000,1.3583910239785568e-10,2.4038091265812034e-19
remove eq 2,,1.5457691332994727,43.98093774804147,1000000,1.3583918266711212e-10,2.4038133149763804e-19
caesar-cipher-k-modulo-n with k=4 and n=5,,1.564655489695724,44.0000611622454,1000000,1.3583914277687258e-10,2.4038133335499886e-19
replace-all-with-index-k with k=2,,1.5622751314658672,44.22331295366894,1000000,1.3583914021570646e-10,2.4038120828450396e-19
rotate-k with k=3,,1.55938889101526,43.907740761475,1000000,1.358391651317123e-10,2.4038073212984306e-19
caesar-cipher-k-modulo-n with k=5 and n=4,,1.5682193498359993,44.11233700536104,1000000,1.3583910557823152e-10,2.40381185898746e-19
add-k with k=4,,1.5555734833906172,44.01945515350235,1000000,1.3583916249670377e-10,2.4038126811101036e-19
keep gt 3,,1.5584922494963394,44.01875010837102,1000000,1.358391324183702e-10,2.4038122851779885e-19
caesar-cipher-k-modulo-n with k=5 and n=2,,1.549985083307547,44.00369635455718,1000000,1.358392023538243e-10,2.4038128711606977e-19
slice-k-n with k=2 and n=5,,1.5573406406037975,44.018443516411935,1000000,1.3583862784337134e-10,2.403785013774291e-19
rotate-k with k=5,,1.5585282953907154,44.1377681064987,1000000,1.3583804725543804e-10,2.403749607045656e-19
drop-k with k=2,,1.5537147357827052,44.12961035158514,1000000,1.3583920804606613e-10,2.403812936707005e-19
drop-k with k=4,,1.5563797833310673,44.32139144912071,1000000,1.3583914003568875e-10,2.403812774483966e-19
remove-mod-k with k=5,,1.5596589965716703,44.077918966249854,1000000,1.358391999855759e-10,2.403813706514216e-19
add-k with k=5,,1.5564704694625107,44.00835636095144,1000000,1.358391404957041e-10,2.4038130902653456e-19
caesar-cipher-k-modulo-n with k=2 and n=4,,1.568781182562816,84.87411739246454,1000000,1.35839147387908e-10,2.4038135495423414e-19
remove-mod-head,,1.5577988165532588,44.220308940217365,1000000,1.3583914404577366e-10,2.4038132175391626e-19
remove gt 0,,1.5526238494639983,44.05932453106652,1000000,1.3583919152159608e-10,2.4038138559464855e-19
remove eq 0,,1.5525131386093562,44.050551974411064,1000000,1.35839219837626e-10,2.4038131065893116e-19
keep-mod-k with k=2,,1.5537950131547404,44.036085701060074,1000000,1.3583914404577366e-10,2.4038132175391626e-19
slice-k-n with k=5 and n=2,,1.550450376875233,44.0489886696887,1000000,1.358391178742481e-10,2.4038041195276304e-19
take-k with k=5,,1.54998895098106,44.22505735919549,1000000,1.3583923550323952e-10,2.403810552283962e-19
evens,,1.56329413541971,84.81430827158329,1000000,1.3583914519377715e-10,2.40381127581585e-19
add-k with k=3,,1.5623164376593195,84.51076042733621,1000000,1.3583916631195596e-10,2.4038129766587475e-19
prepend-k with k=1,,1.5319026113502332,43.70309587270458,1000000,1.358391939256768e-10,2.403813189161281e-19
