task_name,program,search_time,evaluation_time,nb_programs,cumulative_probability,probability
caesar-cipher-k-modulo-n with k=3 and n=5,,1.751457515740185,44.21500012028264,1000000,1.0160702914330398e-10,3.626335831877484e-19
slice-k-n with k=5 and n=4,,1.7922795839549508,44.49965484274435,1000000,1.016054147753757e-10,3.626260655521191e-19
keep gt 1,,1.793756832179497,44.58931692191982,1000000,1.0160697159008514e-10,3.626333660920188e-19
remove-index-k with k=3,,1.7740810948598664,44.31871732448053,1000000,1.0160697885684604e-10,3.6263361750525244e-19
mult-k with k=5,"(var0, (empty, (cons, (empty?, (3, (0, (-, (empty, (append, (3, (empty, (index, (4, (range, (var0, (if, (if, None)))))))))))))))))",0.006245658005354926,4.004299989901483e-05,1,1.551618475215836e-11,1.551618475215836e-11
take-k with k=4,,1.7710289484530222,44.12100057466887,1000000,1.0160700163245201e-10,3.626334426327067e-19
prepend-k with k=2,,1.7608203084528213,44.31708680966403,1000000,1.0160703137172464e-10,3.626334214175912e-19
slice-k-n with k=4 and n=2,,1.7625313607859425,44.30498044297565,1000000,1.0160702061311635e-10,3.626335841010469e-19
keep gt 2,,1.783685073343804,44.555679490295006,1000000,1.0160701918870013e-10,3.626335448476771e-19
odds,,1.8246368005493423,85.84516806394095,1000000,1.0160701916051642e-10,3.626335385495434e-19
slice-k-n with k=3 and n=5,,1.7552992198470747,44.302523416874465,1000000,1.0160660490700622e-10,3.6263162818551646e-19
slice-k-n with k=3 and n=4,,1.7654122162784915,44.157475229454576,1000000,1.0160663992242213e-10,3.6263166007443503e-19
add-k with k=2,,1.760444922008901,44.0406817473995,1000000,1.0160695689872207e-10,3.6263334200064764e-19
drop-k with k=5,,1.7734715682308888,44.1824966238637,1000000,1.0160707155946542e-10,3.626334178822015e-19
drop-k with k=3,,1.7610717281204415,44.16241660538071,1000000,1.0160694929645989e-10,3.6263335428557216e-19
caesar-cipher-k-modulo-n with k=3 and n=4,,1.7611966857512016,44.17670405514946,1000000,1.0160701717166673e-10,3.626335707709862e-19
mult-k with k=2,,1.7946375602041371,85.29716818660381,1000000,1.0160706434864092e-10,3.62633420703986e-19
prepend-k with k=4,,1.7605401330511086,44.80088708078256,1000000,1.0160701666540128e-10,3.6263352463720437e-19
prepend-index-k with k=3,,1.7814494414633373,44.560031487679225,1000000,1.0160697658892083e-10,3.6263307075865814e-19
slice-k-n with k=2 and n=2,,1.7580106165260077,44.34880485640315,1000000,1.0160698470387077e-10,3.6263328516278984e-19
rotate-k with k=1,,1.7714467535261065,44.97583854912955,1000000,1.0160694653291436e-10,3.6263318273033726e-19
remove eq 2,,1.7718154334870633,44.38188630233344,1000000,1.0160701868421137e-10,3.6263357670728854e-19
caesar-cipher-k-modulo-n with k=4 and n=5,,1.7643076408130582,44.714197819150286,1000000,1.0160698865531985e-10,3.6263343596025473e-19
replace-all-with-index-k with k=2,,1.7590733771648956,44.36001569045766,1000000,1.0160698707670965e-10,3.6263343038452697e-19
rotate-k with k=3,,1.7545806652342435,44.39452762537985,1000000,1.0160698032948156e-10,3.6263309873443176e-19
caesar-cipher-k-modulo-n with k=5 and n=4,,1.7712217672378756,44.363202040680335,1000000,1.0160696068770415e-10,3.6263338827888717e-19
add-k with k=4,,1.7564249060524162,44.439424388387124,1000000,1.0160700330516605e-10,3.6263340744204044e-19
keep gt 3,,1.7867187785013812,44.66632569966896,1000000,1.0160698150744148e-10,3.6263338979462346e-19
caesar-cipher-k-modulo-n with k=5 and n=2,,1.772538710210938,44.6576485595142,1000000,1.016070334043315e-10,3.6263365158746626e-19
slice-k-n with k=2 and n=5,,1.770045584460604,44.282603985542664,1000000,1.0160653606466936e-10,3.6263126548558066e-19
rotate-k with k=5,,1.771969118504785,44.40906261758937,1000000,1.0160601997877496e-10,3.626288008690194e-19
drop-k with k=2,,1.7969181803637184,44.54768580319069,1000000,1.0160703755852038e-10,3.6263374812763223e-19
drop-k with k=4,,1.7778428704623366,44.543789119663415,1000000,1.0160698193896477e-10,3.626334111392672e-19
remove-mod-k with k=5,,1.7645635615772335,44.46856590647076,1000000,1.0160703196546998e-10,3.6263358507216153e-19
add-k with k=5,,1.7737735478876857,44.35303081548773,1000000,1.0160698691315593e-10,3.626334529218287e-19
caesar-cipher-k-modulo-n with k=2 and n=4,,1.791725265182322,85.11393357803172,1000000,1.016069922532954e-10,3.6263344827028664e-19
remove-mod-head,,1.7803159137401963,44.506778482420486,1000000,1.016069895354957e-10,3.626333935114271e-19
remove gt 0,,1.890728628684883,44.68490774555539,1000000,1.0160702529966673e-10,3.62633604410958e-19
remove eq 0,,1.8069655985891586,44.948054001361015,1000000,1.0160704646358404e-10,3.626336293450914e-19
keep-mod-k with k=2,,1.7866913318866864,44.86321334994864,1000000,1.016069895354957e-10,3.626333935114271e-19
slice-k-n with k=5 and n=2,,1.769204310636269,44.38996236646199,1000000,1.0160694313566784e-10,3.6263298809248323e-19
take-k with k=5,,1.7650934421544662,44.55769611989672,1000000,1.0160704621945184e-10,3.6263308897170813e-19
evens,,1.8051168216625229,85.59008472615096,1000000,1.0160699575501192e-10,3.6263333348302e-19
add-k with k=3,,1.8056667760829441,85.74258237691538,1000000,1.0160700671714135e-10,3.626334954249388e-19
prepend-k with k=1,,1.7928368220163975,44.595509498918545,1000000,1.0160702189715366e-10,3.626332937290288e-19
append-k with k=5,,1.7625306299014483,44.42335027406807,1000000,1.0160701379638977e-10,3.6263339432154153e-19
tail,,1.7688242182339309,44.35558070067782,1000000,1.016069686346158e-10,3.6263321900622934e-19
add-k with k=1,,1.7649136853578966,44.36744247429306,1000000,1.0160701668629235e-10,3.6263331510874227e-19
prepend-k with k=0,,1.7606071923219133,44.38618616540043,1000000,1.0160705266400467e-10,3.6263367900978265e-19
remove-index-k with k=2,,1.768359732159297,44.40617124695564,1000000,1.0160697737995862e-10,3.6263323739968793e-19
remove gt 3,,1.764898055305821,44.25859073419997,1000000,1.0160702567089265e-10,3.6263364395867074e-19
caesar-cipher-k-modulo-n with k=5 and n=3,,1.7793171703233384,44.28556171731907,1000000,1.0160700047626728e-10,3.6263330021027992e-19
keep-mod-k with k=3,,1.7644365040032426,44.35280568974849,1000000,1.016070505564302e-10,3.6263351540851973e-19
slice-k-n with k=4 and n=1,,1.795494387843064,44.34612530360755,1000000,1.0160703079749336e-10,3.6263367042326815e-19
append-index-k with k=2,,1.7841267388721462,44.45903981017182,1000000,1.0160704695851771e-10,3.626333652477218e-19
take-k with k=2,,1.816924830302014,45.15308782810462,1000000,1.0160701013062547e-10,3.6263336871959443e-19
caesar-cipher-k-modulo-n with k=1 and n=3,,1.7872854980523698,44.94533635140397,1000000,1.0160697575190515e-10,3.6263343805840644e-19
replace-all-with-index-k with k=5,,1.807337865291629,44.81146801695286,1000000,1.0160697899456412e-10,3.6263342255342763e-19
sort-and-deduplicate,,1.7659407339961035,44.78374669267214,1000000,1.016070340653617e-10,3.626334620644363e-19
pow-k with k=5,"(var0, (empty, (cons, (empty?, (3, (0, (-, (empty, (append, (3, (empty, (index, (4, (range, (var0, (if, (if, None)))))))))))))))))",0.006171453002025373,6.884000322315842e-05,1,1.551634156211959e-11,1.551634156211959e-11
sort,,1.7740000119811157,44.51112485807971,1000000,1.0160700095014822e-10,3.6263347417062043e-19
remove-mod-k with k=4,,1.7847611752076773,85.79906939715147,1000000,1.0160700730926918e-10,3.6263338987312056e-19
take-k with k=1,,1.7678642737155315,44.38866685598623,1000000,1.0160700820978607e-10,3.6263341901368323e-19
append-k with k=2,,1.7635208915598923,44.376275757094845,1000000,1.0160702036779315e-10,3.626335273957551e-19
slice-k-n with k=4 and n=3,,1.7664858596253907,44.48638310129172,1000000,1.0160686857634909e-10,3.6263232136989123e-19
mult-k with k=4,,1.7827951185608981,44.371096636605216,1000000,1.0160703538900323e-10,3.6263323715169103e-19
slice-k-n with k=5 and n=1,,1.7784161078598117,44.23810177251289,1000000,1.0160707356434522e-10,3.626332078294959e-19
modulo-k with k=2,,1.7783148068992887,44.30295189135359,1000000,1.0160703196546998e-10,3.6263358507216153e-19
slice-k-n with k=3 and n=1,,1.785652094098623,44.55918842188839,1000000,1.0160703057912263e-10,3.626334684618071e-19
append-k with k=0,,1.7845071690098848,44.383112538969726,1000000,1.0160703360123035e-10,3.626336356348992e-19
keep eq 3,,1.7854917043441674,44.460557190992404,1000000,1.0160699922061096e-10,3.626334475676794e-19
remove-index-k with k=4,,1.7734496283810586,44.496190669044154,1000000,1.0160698338575763e-10,3.626334153924424e-19
