task_name,program,search_time,evaluation_time,nb_programs,cumulative_probability,probability
caesar-cipher-k-modulo-n with k=3 and n=5,,28.60084546680082,19.62811657558268,1000000,1.6826951492955171,1.2822356741393873e-08
slice-k-n with k=5 and n=4,,28.887293366067752,19.85102993650071,1000000,1.6826884902697818,1.029566990442736e-08
keep gt 1,,28.76597226006197,19.785964789516584,1000000,1.6826951072246705,1.282235989195775e-08
remove-index-k with k=3,,28.69495597468631,19.675064448336343,1000000,1.6826951511632302,1.0295607028541687e-08
mult-k with k=5,"(empty, None)",0.00043428099888842553,7.995000487426296e-06,1,0.027112093375181424,0.027112093375181424
take-k with k=4,,29.067520085911383,19.663190557606868,1000000,1.6826951502392016,1.2822352445457264e-08
prepend-k with k=2,,29.02751374971922,19.676449864065944,1000000,1.682695146352428,1.2822356532071877e-08
slice-k-n with k=4 and n=2,,29.12136495987579,19.824909672119247,1000000,1.6826951240717345,1.2822368177740517e-08
keep gt 2,,29.193961155888246,19.883372357013286,1000000,1.6826951486541506,1.2822359128917835e-08
odds,,28.973990608385066,19.951685011816153,1000000,1.6826951111207333,1.2822363214356964e-08
slice-k-n with k=3 and n=5,,28.32888304404696,19.36170584122374,1000000,1.6826935243573267,1.188130652498315e-08
slice-k-n with k=3 and n=4,,28.249029249691375,19.321482488681795,1000000,1.6826937520974217,1.1881300872440811e-08
add-k with k=2,,28.74126886499289,19.520662566639658,1000000,1.682695107606641,1.2822356744443288e-08
drop-k with k=5,,29.151552109782642,19.56669294053063,1000000,1.6826949436575125,1.282236483477581e-08
drop-k with k=3,"(var0, (cdr, (cdr, (cdr, None))))",0.007532995019573718,0.005313969941198593,381,0.20402665716497947,0.0005230399075989876
caesar-cipher-k-modulo-n with k=3 and n=4,,29.12720383625492,19.755794998811325,1000000,1.682695149348092,1.2822360237381655e-08
mult-k with k=2,,27.944458509940887,20.222790821353556,1000000,1.682695081243096,1.2822362832099914e-08
prepend-k with k=4,,28.41008397558835,19.392522473259305,1000000,1.6826951510522867,1.2822352672217115e-08
prepend-index-k with k=3,,28.215318372320326,19.224659070154303,1000000,1.682695117433781,1.28223793608699e-08
slice-k-n with k=2 and n=2,,28.24062582708575,19.242836459980026,1000000,1.6826951227936078,1.2822367081695272e-08
rotate-k with k=1,,28.052554754576704,19.473226280810195,1000000,1.682694900175198,1.2822368152267682e-08
remove eq 2,,28.332408714137273,19.25109536247328,1000000,1.682695146624657,1.282235767876864e-08
caesar-cipher-k-modulo-n with k=4 and n=5,,28.8045179363653,19.362739813292137,1000000,1.6826951084089925,1.282235989195775e-08
replace-all-with-index-k with k=2,,29.02392550989316,19.627975435974804,1000000,1.682695200639789,1.2822370095776834e-08
rotate-k with k=3,,28.619140623046405,19.472324214922992,1000000,1.6826946485179701,1.029560526980721e-08
caesar-cipher-k-modulo-n with k=5 and n=4,,29.018559454860224,19.71600211605619,1000000,1.6826951092471953,1.2822357900244669e-08
add-k with k=4,,29.06391395861283,19.88706355148679,1000000,1.6826951093714473,1.2822367164408162e-08
keep gt 3,,28.77141710343858,20.23788876157414,1000000,1.6826951312310836,1.2822362540936866e-08
