program,search time,probability of the program,cumulative probability
(SORT var0),0.005281822999677388,0.0003258716585766556,0.0003258716585766556
(REVERSE var0),0.006162670999401598,0.0072154682214861455,0.0075413398800628015
(FILTER[<0] var0),0.007385648999843397,3.55145824672699e-08,0.007541375394645269
(FILTER[>0] var0),0.008225695000874111,8.357638394134467e-11,0.007541375478221653
(FILTER[%2==0] var0),0.009035490000314894,9.57187509126382e-07,0.007542332665730779
(FILTER[%2==1] var0),0.009807175001697033,2.6962077193110557e-07,0.00754260228650271
(MAP[+1] var0),0.011196588002349017,0.0005035511082977833,0.008046153394800493
(MAP[-1] var0),0.01203246800287161,3.4552258144525695e-06,0.008049608620614946
(MAP[*2] var0),0.01295966400357429,8.875035551041385e-05,0.00813835897612536
(MAP[/2] var0),0.013724276004722924,0.006394542652909385,0.014532901629034745
(MAP[*(-1)] var0),0.014995757004726329,1.1937429746676058e-05,0.014544839058781421
(MAP[**2] var0),0.01588170500326669,6.9814610020293325e-06,0.01455182051978345
(MAP[*3] var0),0.01668822100327816,3.0102033832525202e-05,0.014581922553615977
(MAP[/3] var0),0.017449570003009285,5.926860869548342e-06,0.014587849414485526
(MAP[*4] var0),0.01872931900288677,7.067573017542873e-09,0.014587856482058544
(MAP[/4] var0),0.01948869100306183,1.4545541645309937e-07,0.014588001937474997
(SCANL1[+] var0),0.02601038800276001,9.513326284756172e-06,0.014597515263759752
(SCANL1[-] var0),0.027178796002772287,1.5994883407931392e-07,0.01459767521259383
(SCANL1[*] var0),0.028197801002534106,3.3836927414243213e-06,0.014601058905335255
(SCANL1[MIN] var0),0.02904958400176838,1.9274286517118067e-09,0.014601060832763907
(SCANL1[MAX] var0),0.030339044002175797,2.344305325162617e-06,0.01460340513808907
(SCANL1[MAX] (SORT var0)),0.030492173002130585,2.9588181117970956e-11,0.01460340516767725
(SCANL1[MAX] (REVERSE var0)),0.030532618002325762,1.9195651212934495e-09,0.014603407087242372
(SCANL1[MAX] (FILTER[<0] var0)),0.030574086002161494,1.7167057814054346e-06,0.014605123793023778
(SCANL1[MAX] (FILTER[>0] var0)),0.03061422600330843,4.1986355712857755e-09,0.014605127991659349
(SCANL1[MAX] (FILTER[%2==0] var0)),0.030653695002911263,3.2894970013106947e-07,0.014605456941359481
(SCANL1[MAX] (FILTER[%2==1] var0)),0.030694114002471906,5.117164026125437e-12,0.014605456946476645
